CALQ_0,CALQ_1,CALQ_2,CALQ_3,CALQ_4,CALQ_5,CALQ_6,CALQ_7,CALQ_8,CALQ_9,CALQ_10,CALQ_11,CALQ_12,CALQ_13,CALQ_14,CALQ_15,CALQ_16,CALQ_17,CALQ_18,CALQ_19,CALQ_20,CALQ_21,CALQ_22,CALQ_23,CALQ_24,CALQ_25,CALQ_26,CALQ_27,CALQ_28,CALQ_29,CALQ_30,CALQ_31,CALQ_32,CALQ_33,CALQ_34,CALQ_35,CALQ_36,CALQ_37,CALQ_38,CALQ_39,CALQ_40,CALQ_41,CALQ_42,CALQ_43,CALQ_44,CALQ_45,CALQ_46,CALQ_47
77,16,8,0,0,0,0,43,33,128,31,27,8,0,12,3,180,18,0,33,0,0,0,0,0,7,0,0,20,0,0,0,30,0,93,0,13,0,23,0,74,137,0,12,0,0,0,144
24,102,46,0,16,0,19,0,0,0,0,11,13,0,0,5,45,15,26,17,0,25,31,39,0,18,24,44,0,209,53,0,5,23,0,3,22,6,0,109,0,16,11,0,0,13,9,54
25,0,40,18,76,28,50,31,6,5,0,17,41,18,3,11,12,28,78,11,0,6,22,0,18,0,8,57,0,21,14,35,105,67,31,0,0,20,13,82,11,98,25,326,44,360,8,44
0,7,13,7,0,0,54,140,0,0,0,24,17,0,10,6,0,10,13,0,24,28,51,3,0,73,26,0,67,38,57,62,67,0,0,0,8,9,15,0,29,39,7,0,88,9,6,9
16,0,92,6,0,0,29,0,12,78,0,0,0,31,3,0,6,39,5,0,20,17,0,77,0,0,17,0,0,0,14,0,0,0,0,0,39,6,0,0,89,24,19,42,73,8,5,8
35,0,0,0,0,37,0,0,0,7,16,0,0,0,27,0,0,0,0,0,0,0,0,0,0,12,32,0,0,0,0,23,0,0,0,0,0,0,5,0,14,0,0,0,0,0,11,0
0,0,0,15,0,0,0,0,0,0,0,0,12,15,0,0,0,0,0,0,0,78,0,5,0,18,5,0,0,0,0,26,8,0,0,0,0,28,28,0,0,21,14,0,0,0,53,98
50,11,0,0,0,45,0,0,0,40,106,0,0,32,17,0,4,113,45,102,40,0,19,69,6,7,11,33,0,0,0,0,0,0,23,50,0,0,0,53,41,0,0,18,0,0,0,70
0,0,0,42,6,0,5,94,0,0,0,138,0,0,0,0,0,0,0,13,0,18,0,0,24,28,29,10,7,53,17,0,0,34,67,132,46,37,49,16,13,0,16,9,18,0,23,61
0,0,0,0,0,0,97,157,0,16,12,40,120,21,45,0,6,6,41,42,28,0,0,5,0,0,7,0,0,0,0,0,0,70,47,0,0,0,0,16,0,21,73,48,5,10,0,10
0,59,81,7,0,7,37,0,0,0,0,0,4,8,0,0,18,0,17,18,0,0,0,0,0,0,0,0,46,28,0,0,0,0,0,22,0,0,4,0,0,0,0,0,0,0,0,21
0,0,10,67,7,0,0,39,0,0,0,0,0,0,0,0,0,0,69,0,0,0,51,0,124,11,12,0,0,0,0,0,18,16,0,95,54,0,9,0,0,0,0,0,5,0,6,0
6,12,0,13,0,10,13,183,0,0,0,0,0,0,0,0,249,28,24,18,58,11,16,18,31,9,0,8,0,0,0,44,0,0,36,80,8,0,0,0,46,5,0,12,27,22,129,50
15,0,13,0,16,130,0,0,0,0,0,0,7,0,0,0,0,18,4,4,20,0,8,0,9,0,0,33,0,13,0,0,182,29,14,0,11,9,222,0,0,0,76,13,0,6,5,0
5,53,14,0,5,21,8,0,21,39,0,0,0,0,0,20,3,0,0,0,6,0,0,81,13,0,10,0,0,0,31,0,29,22,9,5,7,0,0,0,0,5,23,0,0,0,0,0
37,0,0,60,0,0,0,6,0,0,0,63,0,24,5,21,0,0,7,0,0,0,9,0,0,0,6,0,124,0,0,0,15,0,0,51,0,0,22,6,0,0,0,12,0,31,0,0
21,10,4,0,6,4,0,0,4,8,10,0,0,1767,18,0,16,0,0,0,0,10,12,0,0,0,17,0,0,0,0,0,0,0,30,0,0,0,0,6,71,0,0,0,0,0,0,4
0,0,0,0,258,23,0,7,0,0,0,12,0,73,6,0,0,85,19,0,6,0,0,0,0,5,0,0,1420,7,22,0,111,0,11,48,46,0,0,29,0,7,54,0,6,17,44,0
5,19,15,0,0,26,6,7,0,31,271,0,13,0,5,0,8,0,4,0,17,6,0,24,0,19,5,0,15,0,0,180,0,0,13,45,0,0,0,36,0,0,0,0,0,0,0,0
0,0,0,0,0,15,0,6,20,0,4,0,0,0,11,0,0,0,0,0,7,0,0,0,0,18,24,0,18,26,21,0,0,27,0,0,0,16,0,0,0,0,0,17,15,0,0,10
0,10,65,0,19,6,66,0,36,0,27,4,0,6,5,12,11,7,7,23,0,19,6,20,9,113,0,0,0,0,0,0,0,28,38,0,4,48,95,6,0,6,16,4,0,31,6,6
8,44,0,0,0,0,0,0,13,0,0,0,6,29,0,10,0,0,0,0,0,25,0,0,0,4,0,0,0,0,0,101,53,192,0,0,0,4,48,0,0,0,54,0,0,41,0,20
12,0,4,88,31,15,0,0,37,30,30,11,27,0,22,125,0,30,8,8,46,0,0,39,0,0,0,5,0,0,0,99,0,8,0,0,0,60,0,30,0,30,0,0,0,0,0,0
44,59,0,9,62,0,25,8,62,0,0,0,53,0,0,0,0,5,0,0,12,193,71,0,5,0,0,0,10,14,0,54,9,4,0,16,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,26,14,0,0,35,0,8,0,24,0,0,0,10,0,5,0,0,5,9,27,0,201,49,8,0,99,20,0,0,14,134,0,0,0,15,0,0,260,6,0,0,0,0,0,0
0,18,21,0,0,60,0,183,21,0,0,23,17,0,10,0,0,40,22,0,0,33,7,0,0,22,11,0,0,0,100,65,59,8,0,5,52,0,0,0,33,0,0,0,0,0,0,0
0,4,0,11,0,47,4,6,54,0,0,0,13,7,16,0,0,0,86,0,0,48,0,0,0,28,0,8,14,0,17,0,130,0,0,0,75,0,0,104,0,0,0,44,0,0,45,23
11,11,0,0,7,0,0,0,7,20,0,0,58,0,5,0,0,0,0,0,0,0,8,0,15,0,0,0,0,0,103,0,45,91,38,9,46,0,0,0,0,0,0,0,0,134,0,25
0,0,0,0,23,85,9,0,184,151,0,0,61,10,12,0,0,0,0,0,33,0,0,0,0,7,32,0,19,0,7,0,4,5,0,5,4,20,34,82,0,0,0,42,0,8,0,0
17,141,12,0,37,0,41,0,6,0,0,14,11,0,0,0,6,22,11,0,0,10,0,0,0,0,0,0,0,0,78,0,0,8,8,17,0,15,0,10,0,29,44,109,86,4,17,0
0,0,66,22,0,0,0,39,12,19,9,0,12,6,5,9,0,4,0,0,0,0,28,162,0,0,0,29,8,14,14,82,66,0,15,0,25,35,0,0,24,0,0,0,49,0,0,0
7,111,203,12,12,0,23,0,0,73,4,95,0,0,55,0,4,24,0,4,0,0,0,0,0,10,4,65,0,0,98,66,18,15,0,17,0,0,7,310,5,58,77,315,4,0,0,0
17,127,42,12,7,66,7,0,0,40,5,0,5,102,4,0,0,0,17,4,0,0,0,21,0,10,0,17,12,27,20,12,54,63,0,0,0,36,12,0,16,15,0,21,11,37,0,0
0,5,21,19,0,8,38,131,0,0,6,52,0,7,59,0,0,7,0,189,89,27,0,0,0,0,0,0,5,0,0,0,0,0,0,9,0,0,0,5,10,29,19,0,80,7,0,16
0,0,0,0,0,161,11,0,0,211,14,23,26,6,0,66,5,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,99,135,95,27,0,0,11,0,0,0,0,0
0,0,11,85,0,0,0,0,0,0,47,100,0,0,0,22,27,0,0,36,17,5,127,59,0,35,22,7,0,0,0,0,0,0,139,24,0,68,148,0,0,0,12,0,7,7,0,8
0,6,25,44,0,0,0,0,0,0,0,103,4,0,0,27,0,0,143,27,0,9,0,37,19,0,0,0,0,0,0,0,21,0,0,7,54,135,0,15,0,0,0,0,37,59,0,0
15,7,0,0,16,4,0,0,0,69,0,18,0,0,9,9,38,0,30,0,56,28,39,0,0,6,0,4,14,0,0,0,26,8,6,0,0,26,0,0,102,119,73,14,58,6,26,27
0,0,0,0,11,0,17,0,0,30,184,0,12,47,265,13,0,0,0,0,0,0,136,0,0,17,0,0,0,10,36,0,0,4,0,0,35,7,0,0,35,21,5,64,0,0,13,0
50,31,0,7,16,0,0,0,0,0,11,21,0,0,0,0,0,62,67,0,27,0,0,0,0,0,0,116,0,0,68,11,7,0,6,0,13,0,73,16,24,4,11,105,46,51,15,6
